Suit of Card 1,Suit of Card 2,Suit of Card 3,Suit of Card 4,Suit of Card 5,Rank of Card 1,Rank of Card 2,Rank of Card 3,Rank of Card 4,Rank of Card 5,Poker Hand,Unique Ranks,Unique Suits,Hand Strength,Max Rank Frequency,Fold,Check,Call,Raise,All-In
0,0,0,1,0,3,4,3,12,4,2,3,2,2,2,0.192884760455123,0.5501918733493273,0.0682415263232205,0.1682363913190429,0.0204454485532861
0,0,0,0,1,10,7,2,4,4,1,4,4,1,2,0.2282013601424734,0.5616071886368839,0.0755355844912009,0.0994777885555776,0.0351780781738642
0,1,0,0,1,6,11,5,11,11,3,3,2,3,3,0.2161424110387483,0.53631901117678,0.0525845401275592,0.1543318491335621,0.0406221885233501
1,0,0,0,0,6,9,10,6,5,1,4,4,1,2,0.1968298343597675,0.580072665176133,0.0539375013345033,0.1480086014665007,0.0211513976630953
0,1,1,0,1,2,6,12,2,8,1,4,3,1,2,0.2122793313378801,0.5526314676418829,0.0423404648535344,0.1588598990789328,0.0338888370877696
0,0,0,1,1,3,9,2,2,9,2,3,3,2,2,0.2171346829792002,0.5570410276677046,0.0765442867369886,0.1309296709478795,0.0183503316682269
0,1,0,1,0,3,13,12,6,2,0,5,4,0,1,0.1952564755809032,0.5936454109099562,0.0491715235186605,0.146484156028217,0.0154424339622632
0,0,1,0,0,2,5,10,12,11,4,5,3,0,1,0.2146510000602282,0.5450045934840702,0.0683300296758321,0.1385108157478752,0.0335035610319941
0,0,0,0,1,7,2,10,13,10,1,4,3,1,2,0.2465732590827741,0.5249987193313654,0.0727093967843966,0.1229336003385077,0.0327850244629559
0,1,0,0,0,12,8,7,8,3,1,4,3,1,2,0.2425227017215974,0.5745475935910642,0.0620916988246951,0.1124294097740588,0.0084085960885842
0,0,1,0,1,4,7,11,5,11,1,4,4,1,2,0.2446480093079011,0.5375295940984052,0.0693651989551032,0.1358611087674717,0.0125960888711187
0,0,0,0,0,2,2,2,13,3,2,3,3,5,3,0.0608942922245755,0.1270742695870917,0.3370151717144829,0.3911023607655961,0.0839139057082535
0,0,1,0,0,12,12,13,9,5,1,4,4,1,2,0.1912949339914347,0.6033657284361705,0.058281220035711,0.1371185591430853,0.0099395583935983
1,0,0,0,0,6,13,9,12,9,1,4,3,1,2,0.2153114032522393,0.5647832867695303,0.049244659417501,0.1607273506937095,0.0099332998670199
0,1,0,1,0,5,4,8,2,7,4,5,4,0,1,0.2170045737238485,0.5505307161086741,0.0540340722468741,0.1519112052976592,0.0265194326229439
0,0,0,0,0,12,2,8,3,8,1,4,2,5,2,0.0504344082252321,0.1050631360336256,0.2931664325495131,0.3678348916456964,0.1835011315459327
0,0,0,0,1,6,7,13,5,5,1,4,3,1,2,0.2338073957686068,0.592243295590744,0.0580104780172813,0.0983186852158212,0.0176201454075465
0,1,0,1,0,11,10,10,5,4,1,4,3,1,2,0.2291704830948375,0.5570389686597873,0.0697439828925013,0.1240645142990116,0.0199820510538621
0,0,1,0,0,12,8,6,11,3,4,5,3,0,1,0.1969993244574812,0.5749953424149006,0.053307164200834,0.1562546540231983,0.0184435149035857
0,1,1,1,1,10,2,3,3,9,1,4,2,1,2,0.2319078554896611,0.5952122737201864,0.0522819241784463,0.1003322322528204,0.0202657143588857
0,1,1,0,0,12,4,11,7,11,1,4,3,1,2,0.1683480284059499,0.5840437790189305,0.0754615814708503,0.1335966974741902,0.0385499136300789
0,0,0,0,0,13,13,5,6,6,3,3,2,5,2,0.0447251026137,0.1360014927173659,0.3034045932134978,0.3756276937754908,0.1402411176799455
0,1,0,1,0,12,6,2,6,5,1,4,3,1,2,0.2241632536789869,0.5085784343812231,0.0733937226621911,0.159451123205151,0.0344134660724477
0,1,1,0,0,13,6,3,13,13,2,3,3,3,3,0.1720304871423639,0.5702853182941179,0.0774838631813648,0.1419381782083198,0.0382621531738334
0,0,1,1,0,8,5,8,5,11,3,3,3,2,2,0.2461362594737713,0.5382244765698417,0.0793297966109054,0.0954190198501491,0.0408904474953323
1,0,0,0,0,3,8,4,11,5,4,5,4,0,1,0.2270862954166681,0.5245736922171315,0.0753249740464786,0.152325778045053,0.0206892602746687
0,0,0,0,0,4,7,3,12,3,1,4,2,5,2,0.0540242128229447,0.1146891017492633,0.2882466706117654,0.4013897546619774,0.1416502601540491
1,0,1,0,0,11,9,2,2,2,2,3,3,3,3,0.195065135420222,0.5426159047335187,0.0775930425344177,0.165560689281354,0.0191652280304875
0,1,1,0,0,7,4,4,13,7,2,3,3,2,2,0.2245074124106846,0.560900534920625,0.0496827079643587,0.1472965700749412,0.0176127746293904
0,0,0,1,0,5,7,6,7,2,1,4,4,1,2,0.2221721559130656,0.6036149463116626,0.0379630431647761,0.1045429507127193,0.0317069038977763
0,0,1,0,0,6,7,10,7,11,1,4,4,1,2,0.2102010092423829,0.5692591140859984,0.052153208078775,0.1422672026041371,0.0261194659887064
0,0,0,0,0,4,4,6,11,4,2,3,2,5,3,0.0687706621617052,0.0757094111234817,0.3190895646759675,0.3825060988424706,0.1539242631963748
1,0,0,0,0,12,4,2,10,8,0,5,3,0,1,0.1807465580030821,0.5747117963318505,0.0658119057969908,0.1608691021884108,0.0178606376796657
0,1,0,1,0,11,6,6,3,12,1,4,3,1,2,0.2112847438527841,0.5899868953812095,0.0413558436352594,0.130394458946645,0.0269780581841018
1,1,0,1,0,8,11,7,7,13,1,4,3,1,2,0.1800485990703906,0.5833609035359785,0.0685954161312975,0.1514451423698271,0.0165499388925062
1,0,0,0,0,7,3,3,4,10,1,4,4,1,2,0.2094437823478444,0.5944175422692715,0.0748933587409812,0.0916965539578277,0.0295487626840751
1,1,0,0,0,13,9,12,10,8,0,5,3,0,1,0.2215615676760862,0.5576970211982317,0.0715771868661589,0.1340353043032643,0.0151289199562587
1,0,0,0,0,10,10,10,6,9,2,3,4,3,3,0.2119260579852762,0.5853159880802128,0.0483585824497388,0.1446476072490706,0.0097517642357014
0,0,0,0,0,11,5,8,11,9,1,4,2,5,2,0.0483091329998837,0.0771139430885242,0.2701090258434203,0.3989662595718897,0.205501638496282
1,0,1,0,1,7,4,13,9,11,0,5,2,0,1,0.2000891042276813,0.5963282422937447,0.0539423283258462,0.1388273410016343,0.0108129841510934
0,0,0,0,0,10,10,12,8,7,1,4,2,5,2,0.0566550346137848,0.0879508181313025,0.3004439299415647,0.3978655991838506,0.1570846181294971
1,1,1,0,0,4,11,12,12,3,1,4,3,1,2,0.187337635737212,0.5594575751522322,0.0688894349059052,0.1449603626607511,0.0393549915438993
0,0,0,0,0,4,7,11,9,12,4,5,3,5,1,0.044872642528097,0.1182036132042677,0.3616455194871787,0.3812817530565433,0.0939964717239131
0,0,1,0,0,2,2,9,12,9,3,3,3,2,2,0.2496102521473163,0.512988421391646,0.0538579952582216,0.1460119672152923,0.0375313639875236
0,1,0,1,1,3,4,3,4,2,2,3,2,2,2,0.2249071650524929,0.5800628356677021,0.047483099946723,0.1072111088643888,0.0403357904686931
0,1,0,0,0,8,13,9,11,8,1,4,4,1,2,0.1968374911812538,0.5803012802568718,0.0527334114974177,0.1597039053134457,0.0104239117510109
1,0,0,0,0,8,7,7,13,8,3,3,3,2,2,0.2031909290312266,0.5721656134524796,0.0423615170567314,0.1481926014825886,0.0340893389769736
0,1,1,0,0,5,10,7,10,3,1,4,3,1,2,0.2043185021404132,0.5868280307089262,0.074406073802063,0.1043415582093798,0.0301058351392176
1,0,1,0,0,12,3,5,3,3,2,3,3,3,3,0.1910958511248628,0.5610147249645593,0.0560378227482211,0.1535657542375913,0.0382858469247653
1,0,0,0,1,10,2,5,4,5,1,4,3,1,2,0.2010878421278312,0.572200557705536,0.0524454280328976,0.1383349231248079,0.0359312490089271
0,0,0,0,0,5,9,2,12,11,0,5,3,5,1,0.0795094004967984,0.0933211021915373,0.3548212557143507,0.3771544934574876,0.0951937481398258
0,0,0,0,0,10,6,5,10,10,3,3,3,5,3,0.0451945182272516,0.0876770694900271,0.2767568570739056,0.4256646357940795,0.1647069194147359
0,0,1,0,0,8,13,8,11,10,1,4,3,1,2,0.1657533561599127,0.6098310001957367,0.0456900012099449,0.1441205045546226,0.0346051378797829
0,0,0,0,0,4,12,7,5,13,0,5,3,5,1,0.0608655648700686,0.0892067776149916,0.2632894798626514,0.3561489415378928,0.2304892361143953
0,0,0,0,1,11,12,9,8,13,4,5,4,0,1,0.1945720845782843,0.6039424163264876,0.0465384492176774,0.1433938125739914,0.0115532373035591
0,0,0,1,0,4,2,8,2,4,2,3,4,2,2,0.2076674701580623,0.5780899785563467,0.0824631746385934,0.0909751709611796,0.0408042056858178
0,0,0,0,0,7,3,2,10,3,1,4,3,5,2,0.0620378439956188,0.1467511543829981,0.2790007816255506,0.4073861227403333,0.1048240972554991
1,0,0,0,0,4,8,11,5,8,1,4,3,1,2,0.1948313501664773,0.6014099472518347,0.0889775914213027,0.1018525523629315,0.0129285587974535
0,0,1,0,0,4,9,12,7,2,0,5,4,0,1,0.2261290424806782,0.5982548681196936,0.0561276705219009,0.108090676586445,0.0113977422912821
1,0,1,0,1,10,6,2,6,6,3,3,3,3,3,0.2000834898012065,0.5924499418113527,0.0628426006367089,0.1282859657274029,0.0163380020233288
1,0,0,1,1,2,6,13,11,11,1,4,2,1,2,0.2202720336989247,0.5777782164769645,0.0819401088243136,0.1064028745879692,0.0136067664118278
0,0,0,0,0,4,7,9,8,12,0,5,2,5,1,0.0638972658818348,0.1118870817900232,0.3050728027678757,0.356367161999773,0.1627756875604931
0,1,0,1,0,9,12,7,10,13,0,5,4,0,1,0.2120392660549705,0.5884004824743412,0.0658578904473228,0.1185752233145392,0.015127137708826
1,0,0,0,0,12,5,3,8,10,4,5,3,0,1,0.1928577233083016,0.6122402127445767,0.080964475756552,0.0986728795971509,0.0152647085934186
0,0,1,0,0,10,12,10,11,13,1,4,4,1,2,0.2243641842468711,0.5441780030886333,0.0702884483055194,0.1386858815251604,0.0224834828338156
1,1,0,0,0,5,7,13,10,7,1,4,4,1,2,0.2120250615603717,0.5914503038911791,0.0633530096896239,0.1028927504173082,0.030278874441517
0,0,0,0,0,4,7,3,5,6,0,5,2,8,1,0.0618711447021667,0.1094139131812027,0.32442518335951,0.3076121433686162,0.1966776153885044
0,0,0,1,0,13,9,12,13,5,1,4,4,1,2,0.2141381637383663,0.5779759446029126,0.0653848675779169,0.1174320529977411,0.0250689710830629
0,1,1,0,1,2,2,5,10,10,3,3,3,2,2,0.2314898179534654,0.5466272908366975,0.0463421013506082,0.1458671288929036,0.0296736609663251
0,0,0,0,1,6,4,13,6,9,1,4,3,1,2,0.1907331061737461,0.6065859080024683,0.0661169269298986,0.1047308624394759,0.0318331964544109
1,0,0,0,1,12,5,8,4,4,1,4,3,1,2,0.2112590252631716,0.6028139933110271,0.073698219367407,0.0929256098809936,0.0193031521774005
1,0,0,0,1,6,13,3,4,8,4,5,4,0,1,0.2260360872802871,0.5489592119463108,0.0607245165234165,0.1526628417565802,0.0116173424934052
0,1,0,1,0,13,7,11,5,8,0,5,3,0,1,0.184793510912687,0.6102209896133082,0.0697571858536964,0.1050820087148117,0.0301463049054965
1,0,0,0,0,6,7,2,9,11,0,5,4,0,1,0.2564853024600239,0.5581508977398802,0.0617287053541972,0.1124153410823094,0.0112197533635892
0,0,1,0,0,3,12,9,7,5,0,5,3,0,1,0.2109886835418971,0.5672327282358309,0.0822201054341176,0.1025015532958111,0.0370569294923432
0,0,0,0,0,13,12,8,13,5,1,4,2,5,2,0.0549054764185303,0.1166230380311489,0.2769045467359936,0.4479461366818758,0.1036208021324513
1,0,0,1,1,6,9,12,12,5,1,4,3,1,2,0.2127286941067877,0.6068237095020929,0.0760571015871486,0.092485781951402,0.0119047128525686
0,0,0,0,0,6,4,7,3,4,1,4,2,5,2,0.0547432052789883,0.1436161460180567,0.2730235576039634,0.3726238872562552,0.1559932038427362
0,0,0,0,0,11,4,9,5,13,4,5,2,5,1,0.0677415818959292,0.1149703541447878,0.266095029082145,0.3561443761211,0.1950486587560377
0,0,0,0,0,2,8,10,12,7,0,5,3,5,1,0.0498703549844798,0.108902873215297,0.2896899641317539,0.3421482941016554,0.2093885135668137
0,0,0,0,0,11,9,11,13,3,1,4,2,5,2,0.0531404803630877,0.1308427079086537,0.2430437822057228,0.3713526583848066,0.2016203711377291
0,1,0,0,0,11,11,4,12,6,1,4,4,1,2,0.2314109210281886,0.5651508316637931,0.0781683648840601,0.0984552877719833,0.0268145946519747
1,0,0,1,0,12,4,4,3,10,1,4,3,1,2,0.2075255373172193,0.5391306779682913,0.0621300330631191,0.1509448145941467,0.0402689370572234
0,1,1,0,0,7,2,12,10,8,4,5,3,0,1,0.1973392511286835,0.60258476422295,0.0543707961237968,0.1346199224426897,0.0110852660818798
1,0,0,0,1,5,9,7,13,8,0,5,2,0,1,0.1703182497870355,0.587410715045127,0.0668738359565122,0.1650993266996853,0.0102978725116398
1,0,0,1,0,9,5,13,8,12,4,5,4,0,1,0.2025450435655681,0.5512709404425102,0.0686129737992286,0.1538382729826003,0.0237327692100926
0,0,0,0,1,3,2,13,4,13,1,4,4,1,2,0.2220194767096001,0.5461472159091695,0.0751011672149431,0.1215310294143659,0.0352011107519213
0,0,1,0,0,5,13,13,11,13,3,3,4,3,3,0.1732751277324976,0.6178500928545853,0.0481170191995123,0.152844328407165,0.0079134318062396
1,0,1,0,0,12,4,11,10,13,4,5,3,0,1,0.1989750144116647,0.6036209297717586,0.0645497892382329,0.0973410945698938,0.0355131720084497
0,0,1,0,0,8,2,6,11,10,4,5,3,0,1,0.1782744590293878,0.5927750982915246,0.070796425544588,0.1365136290141761,0.0216403881203232
0,0,0,0,1,8,8,2,5,2,2,3,3,2,2,0.2387632451651078,0.5216822477557951,0.0601061756433986,0.1364939033170122,0.0429544281186861
0,0,0,1,0,9,6,11,3,8,0,5,3,0,1,0.226323018016845,0.5830732180653417,0.0482412786159486,0.1246404598884912,0.0177220254133734
0,0,0,0,0,12,10,9,11,5,4,5,3,5,1,0.0614576400241589,0.1000845677629094,0.3253390392772304,0.4090175825380101,0.1041011703976911
0,0,0,1,0,9,3,2,5,10,4,5,4,0,1,0.2266188840674851,0.5792008931265162,0.0423536658569854,0.1345999878198332,0.01722656912918
1,1,1,0,0,13,11,6,8,13,1,4,3,1,2,0.2044106959511062,0.5788744450302862,0.0521058241753015,0.1419508716014651,0.0226581632418408
0,0,0,0,0,6,9,9,3,9,2,3,3,5,3,0.0701820559795235,0.0830582862957548,0.3322207624657632,0.3660698275275523,0.148469067731406
0,0,1,0,0,13,10,2,9,3,4,5,4,0,1,0.2186531222103233,0.5342003122566842,0.0732709299206898,0.136865245164527,0.0370103904477756
0,0,0,0,0,3,2,9,10,9,1,4,3,5,2,0.0757894603813727,0.1617762699562581,0.2998793111404313,0.3305414514733288,0.1320135070486089
1,0,0,0,0,11,2,13,5,4,0,5,3,0,1,0.1933636141672253,0.555289325491962,0.0491420223027886,0.1764196985109243,0.0257853395270998
0,0,1,0,0,6,13,13,4,8,1,4,4,1,2,0.2037074569565533,0.5831765286800997,0.0794633859820258,0.0976132374679494,0.0360393909133717
0,0,1,0,0,5,6,2,11,10,0,5,3,0,1,0.1966096924004961,0.5446367549192278,0.0732495764847577,0.1615173109887256,0.0239866652067927
0,0,0,0,1,12,11,4,3,3,1,4,3,1,2,0.1934900777227154,0.5681353028122328,0.0450828354808526,0.1580712488756603,0.0352205351085386
1,1,0,0,0,8,2,10,12,5,4,5,4,0,1,0.2204252452097371,0.5559288464181376,0.0750236156067892,0.1275749828050779,0.021047309960258
0,1,0,0,1,9,10,7,11,6,4,5,2,0,1,0.2016195284918384,0.5673175525663925,0.0598305178377017,0.1277709747414227,0.0434614263626446
0,0,1,1,0,4,9,13,2,13,1,4,2,1,2,0.224635557311551,0.5297674821557671,0.0677321410636213,0.1432700614255535,0.0345947580435069
1,0,0,0,0,5,9,13,13,4,1,4,4,1,2,0.2026647436073621,0.6139030176377762,0.0666734068957066,0.0934879616514753,0.0232708702076794
1,1,1,0,0,8,8,10,2,3,1,4,3,1,2,0.2154540242719477,0.561546886457447,0.0609199476951221,0.1392150014140754,0.0228641401614077
1,1,0,1,1,12,11,6,11,8,1,4,2,1,2,0.2319160691814789,0.5361214462175973,0.0573975058494083,0.1516274475218581,0.0229375312296573
0,1,1,1,0,2,9,13,5,4,4,5,2,0,1,0.2018468023523458,0.5876428161929741,0.0473157599494343,0.1266940320508174,0.0365005894544283
0,0,0,0,0,5,6,9,8,7,0,5,3,8,1,0.0376074394598103,0.084123971304892,0.2314410238111675,0.4300528559551384,0.2167747094689916
0,0,0,0,0,9,3,12,2,4,0,5,2,5,1,0.0530037013612385,0.082836420660546,0.3165038875689565,0.3819977117796758,0.165658278629583
1,1,1,0,1,5,7,12,13,13,1,4,2,1,2,0.2130799095767151,0.5620865128043147,0.0830332179908593,0.1291921108101862,0.0126082488179245
1,1,0,0,0,9,12,12,4,13,1,4,3,1,2,0.2066812209084462,0.5688893398953352,0.0685653365410321,0.1280760540611769,0.0277880485940095
0,0,0,0,0,9,3,6,3,6,3,3,3,5,2,0.059964974442948,0.1012677858444484,0.2946316161760036,0.3732845270117427,0.1708510965248572
0,0,0,1,1,6,11,13,7,10,4,5,3,0,1,0.1816391152657644,0.6563432582309637,0.0585909533340539,0.0927831534646475,0.0106435197045702
0,1,0,0,0,9,13,11,3,10,4,5,4,0,1,0.1753048196564591,0.5601946515294203,0.076276766205937,0.1564424653685371,0.0317812972396464
0,0,0,0,0,10,12,13,3,6,0,5,3,5,1,0.0750181249532997,0.0799924225270071,0.3353700384686809,0.4051457959397643,0.1044736181112477
0,0,1,0,0,10,3,10,13,13,3,3,2,2,2,0.2078947052512007,0.5822782419584467,0.0838326728389061,0.1014189055592848,0.0245754743921615
0,1,0,0,0,2,8,10,13,11,4,5,4,0,1,0.2239785748447056,0.5648602826552951,0.0501285387208838,0.142460530732161,0.0185720730469541
0,0,0,0,1,7,7,11,13,10,1,4,4,1,2,0.2178125679122716,0.5645959387492855,0.0437435516528479,0.135711029304225,0.0381369123813699
1,1,0,0,0,13,6,6,2,10,1,4,3,1,2,0.2193804953200907,0.5718278942557576,0.0407713394406917,0.1588703126149026,0.0091499583685573
0,1,0,0,0,9,5,8,6,6,1,4,4,1,2,0.2167007419015939,0.5531420376739802,0.0765906983714714,0.1263490277786227,0.0272174942743316
0,0,0,0,0,13,3,4,12,11,4,5,3,5,1,0.0610558531351621,0.0849414254711555,0.3071465659424954,0.387796909750781,0.1590592457004057
1,0,1,0,0,6,6,8,8,12,2,3,3,2,2,0.2283428247816411,0.5820008304871039,0.0545216215104441,0.1118763456580642,0.0232583775627466
1,0,0,1,0,7,3,6,3,4,1,4,4,1,2,0.2096217890962885,0.558077001688292,0.0604270371568591,0.1456962700985577,0.0261779019600024
0,0,0,1,0,13,9,11,8,3,0,5,4,0,1,0.2113228472908747,0.55673829520183,0.0727216116404933,0.1298647533970992,0.0293524924697027
1,0,0,1,1,2,10,2,2,4,3,3,2,3,3,0.2239279968460006,0.5705059704639518,0.0788101265284262,0.0959119794586189,0.0308439267030025
0,0,0,0,0,3,13,2,13,5,1,4,3,5,2,0.0710058218170956,0.0829384870945469,0.3019799520527157,0.3536889567379424,0.1903867822976994
1,1,0,0,0,2,7,10,9,5,0,5,3,0,1,0.216122469187477,0.6012704724857444,0.0659771849930655,0.1004093605727931,0.01622051276092
1,0,0,0,1,13,6,10,5,3,4,5,3,0,1,0.2148363989324414,0.6139316573886503,0.0482308134683264,0.0981416954365047,0.024859434774077
0,0,0,0,0,5,6,5,4,12,1,4,3,5,2,0.0709148438209109,0.1110956520756879,0.3413386044872099,0.3765046681918666,0.1001462314243244
0,0,0,0,0,11,5,12,2,10,0,5,3,5,1,0.0572105982298056,0.1367667485985508,0.2954139740865212,0.3815232821639555,0.1290853969211667
0,1,0,0,0,4,4,2,10,11,1,4,4,1,2,0.2258510581471199,0.5187368254125645,0.0775594173785284,0.1523440373918445,0.0255086616699425
0,0,0,1,0,12,7,9,7,6,1,4,3,1,2,0.1919556551183341,0.5942961858481753,0.073964667337608,0.0985080712874754,0.0412754204084069
0,1,1,1,0,3,9,5,2,3,1,4,2,1,2,0.2356630755770706,0.5533623849451857,0.080395159380315,0.1033176189216431,0.0272617611757854
0,0,0,1,0,12,12,7,12,6,2,3,3,3,3,0.2210683833162644,0.591725249084597,0.0584289679205058,0.1044854770327862,0.0242919226458465
0,0,1,0,1,8,2,11,2,13,1,4,4,1,2,0.1893543341077179,0.5875605992661515,0.0575882463121745,0.1511645285965585,0.0143322917173974
0,0,0,0,0,6,4,7,9,4,1,4,3,5,2,0.057197267379015,0.1017071729722797,0.3163334364015448,0.3380633599226857,0.1866987633244747
0,1,0,0,0,6,8,3,5,5,1,4,3,1,2,0.2448957670967255,0.5700480836348937,0.0544516050053248,0.0995742514643413,0.0310302927987146
1,0,0,0,0,11,3,10,4,10,1,4,3,1,2,0.2203747208839145,0.5446282075439994,0.0710375500595238,0.1280146105172429,0.0359449109953191
0,1,0,0,0,11,8,7,3,10,4,5,3,0,1,0.2174416361957299,0.5669862018430942,0.0478070229230019,0.1510338877824676,0.0167312512557063
0,0,0,0,0,4,12,12,7,8,1,4,2,5,2,0.0620453232525931,0.1128662863326395,0.3406463944805036,0.4006793790602896,0.083762616873974
0,0,1,0,1,2,11,13,6,7,0,5,3,0,1,0.2135741133098695,0.5755322625598007,0.0828667108664237,0.086237038875603,0.041789874388303
0,0,0,1,0,13,7,7,9,3,1,4,3,1,2,0.1967065440612838,0.5549130635219317,0.0586780706236537,0.1758216389377133,0.0138806828554174
0,0,0,1,0,5,6,3,2,10,4,5,4,0,1,0.2088027330490287,0.5989294868398156,0.0650265697036048,0.1034494913624481,0.0237917190451025
0,1,1,0,0,2,4,9,7,8,0,5,4,0,1,0.226011485171332,0.5330757608557601,0.0706038536256857,0.1375452494327863,0.0327636509144358
0,0,0,1,1,12,10,9,4,3,0,5,2,0,1,0.2063605218263423,0.6250412396419696,0.0581115771126818,0.0862324055037026,0.0242542559153035
1,1,0,1,0,6,13,6,4,13,3,3,3,2,2,0.2230397564171852,0.5976907349950408,0.0423891734786048,0.1257447869446419,0.0111355481645272
1,0,0,1,0,9,7,4,12,5,4,5,4,0,1,0.1889340688393778,0.6201010487099116,0.0569164022122746,0.1163381509653886,0.0177103292730473
0,0,1,0,0,9,9,13,7,13,3,3,3,2,2,0.1816653860213971,0.5975687080278139,0.0609860103938585,0.1371486669777834,0.0226312285791471
0,0,1,0,1,6,13,3,7,3,1,4,3,1,2,0.1876677007687506,0.6325806199764528,0.07971265701166,0.0888630684611118,0.0111759537820248
0,0,0,1,0,9,13,6,9,13,2,3,4,2,2,0.1937530337972195,0.6042879955848971,0.0697596688711042,0.1181117997819948,0.0140875019647842
0,1,0,0,1,6,8,2,5,9,0,5,3,0,1,0.2199373324021785,0.5347485187161578,0.0575312089012703,0.150963236144745,0.0368197038356483
0,1,1,0,0,10,5,2,4,6,4,5,3,0,1,0.1972712414301277,0.6161856336406384,0.0613638830249616,0.0916610154725711,0.033518226431701
0,0,0,0,0,4,6,7,7,10,1,4,2,5,2,0.0654331157608026,0.1429542687746575,0.3413328754312789,0.3174738397876424,0.1328059002456185
0,1,0,1,0,8,5,8,5,5,7,2,4,6,3,0.0716041079397628,0.1453112664596815,0.252076924012875,0.380290183035283,0.1507175185523974
0,0,0,0,0,13,9,8,9,12,1,4,3,5,2,0.0442909918660894,0.1206354208675823,0.3091864099132938,0.3987846886628516,0.1271024886901826
0,0,0,0,1,8,13,7,2,12,0,5,4,0,1,0.1980312837999657,0.5768997589027598,0.0552563048160098,0.1335131150867524,0.0362995373945122
1,1,0,0,1,2,13,3,7,6,0,5,2,0,1,0.1796182721028026,0.6381176247589887,0.0576359482790569,0.1028532853959819,0.0217748694631697
1,0,0,1,1,2,6,12,2,4,1,4,2,1,2,0.1962346246368549,0.5564859194836319,0.0724316436435282,0.1511277144850968,0.0237200977508881
0,0,0,0,0,3,2,3,4,2,3,3,2,5,2,0.0496347434289748,0.1563871316655582,0.2720033762073994,0.3608682552276093,0.1611064934704582
0,0,0,0,0,10,8,7,6,3,4,5,3,5,1,0.0396173484573149,0.0944844844206759,0.3159417266434169,0.3595451322815076,0.1904113081970845
0,0,0,0,0,13,9,7,9,6,1,4,2,5,2,0.0705111803793813,0.0758465309878631,0.347230753780356,0.3417362683974211,0.1646752664549782
1,0,0,1,0,8,2,8,6,7,1,4,4,1,2,0.1885450068587076,0.5947521368557244,0.0509528221615057,0.1333376428046843,0.0324123913193778
0,0,0,0,0,2,12,11,2,9,1,4,3,5,2,0.0479850369573412,0.0900131054950724,0.3126472742778478,0.375049715118481,0.1743048681512574
1,0,0,0,0,13,7,10,7,8,1,4,3,1,2,0.2187344591345518,0.5996566697772607,0.0471949480209848,0.0983462817439924,0.0360676413232102
0,0,0,0,0,6,4,8,7,9,4,5,2,5,1,0.0502029200947172,0.0849104415244385,0.3216324237671866,0.388551287913035,0.1547029267006226
0,0,0,1,0,5,4,12,10,7,0,5,3,0,1,0.2384461851144572,0.5180038657330129,0.0557433179932345,0.1470399976034265,0.0407666335558688
0,1,0,0,0,3,6,9,9,2,1,4,2,1,2,0.2304844687135913,0.5888986954590766,0.0556843592656466,0.0881698808574254,0.0367625957042599
0,0,0,0,0,10,9,2,3,6,0,5,3,5,1,0.0368388071354585,0.0933456605557118,0.3075085345154369,0.3853838936131269,0.1769231041802655
1,0,0,0,0,6,2,10,7,10,1,4,3,1,2,0.2046391794605911,0.5864103806755764,0.0579771053154447,0.115423006478089,0.0355503280702987
1,0,0,0,1,12,12,4,13,2,1,4,3,1,2,0.213517162961517,0.6067783746752609,0.0453011921886068,0.1025561734448709,0.0318470967297442
0,0,0,0,0,10,10,5,13,2,1,4,3,5,2,0.0357407743794104,0.1223262428234862,0.3253589459738809,0.307117401592618,0.2094566352306045
0,0,1,0,0,6,6,7,3,4,1,4,4,1,2,0.1869763654555817,0.640748660513467,0.0443369092118083,0.1123160967542511,0.0156219680648917
0,0,0,1,0,11,3,3,8,12,1,4,4,1,2,0.2486280154011068,0.5661463026796167,0.0566731020090038,0.1023853075493546,0.0261672723609179
0,0,0,1,0,5,11,8,2,11,1,4,3,1,2,0.1842689970088309,0.6104177742467182,0.0611028584377153,0.1239698067978002,0.0202405635089353
0,0,1,0,1,4,4,6,4,10,3,3,3,3,3,0.2043755645033107,0.5817304824088448,0.0705497636080705,0.117095297399901,0.0262488920798728
0,1,0,0,1,11,7,5,10,4,4,5,3,0,1,0.212076468121585,0.5937129070348864,0.0869797485806501,0.0928153225859873,0.0144155536768909
1,0,0,0,0,3,9,13,4,3,1,4,4,1,2,0.263416406267779,0.5677814705235523,0.0482182112585777,0.0961941662132203,0.0243897457368704
0,0,0,1,0,12,9,9,9,4,3,3,3,3,3,0.2124480183180303,0.5690266912842069,0.0588340120994817,0.1422540404421979,0.0174372378560829
0,0,0,0,0,6,8,4,7,2,4,5,2,5,1,0.071677726329955,0.1018570052671749,0.3522692683802925,0.3821518394991677,0.0920441605234098
0,0,1,0,0,3,8,3,9,5,1,4,3,1,2,0.1710881971911355,0.6652762356270104,0.0464966984681392,0.1079405792853401,0.0091982894283746
0,1,0,0,0,9,3,7,6,9,1,4,2,1,2,0.2003740577165375,0.579542973871716,0.0582297300257924,0.1328725743879712,0.0289806639979827
1,0,1,1,0,8,4,5,12,13,0,5,2,0,1,0.1790480594765969,0.6405478073990655,0.067129896351576,0.0931683424067909,0.0201058943659706
1,0,1,0,0,11,12,10,8,9,0,5,4,4,1,0.1868991150246604,0.6396070292594426,0.044549623231358,0.104121831079472,0.0248224014050668
